Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
41,220,Doctoral Fellow-Affiliate Student,2,1,1,1,2,2,2,2
41,225,Affiliate Student-Collaborator,1,0,0,1,1,1,1,1
41,237,Affiliate Student-Collaborator,1,0,1,1,1,1,1,1
42,116,Collaborator-Collaborator,1,0,0,0,0,0,1,1
42,163,Faculty-Collaborator,1,0,0,0,0,0,1,1
42,169,Collaborator-Collaborator,1,0,0,0,0,0,1,1
43,60,Collaborator-Collaborator,1,0,0,1,1,1,1,1
43,126,Collaborator-Collaborator,1,0,0,1,1,1,1,1
43,153,Collaborator-Collaborator,1,0,0,1,1,1,1,1
43,194,Collaborator-Collaborator,1,0,0,1,1,1,1,1
43,214,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
43,223,Collaborator-Collaborator,1,0,0,1,1,1,1,1
44,91,Collaborator-Collaborator,1,0,0,0,0,0,0,1
44,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
44,170,Collaborator-Collaborator,1,0,0,0,0,0,0,1
44,186,Collaborator-Collaborator,1,0,0,0,0,0,0,1
44,210,Collaborator-Collaborator,1,0,0,0,0,0,0,1
44,229,Collaborator-Collaborator,1,0,0,0,0,0,0,1
45,55,Collaborator-Collaborator,1,0,0,0,0,1,1,1
45,59,Collaborator-Collaborator,1,0,0,0,0,1,1,1
45,90,Collaborator-Collaborator,1,0,0,0,0,1,1,1
45,127,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
45,155,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
45,193,Faculty-Collaborator,1,0,0,0,0,1,1,1
45,202,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
46,172,Collaborator-Collaborator,1,0,0,0,0,0,1,1
46,173,Collaborator-Collaborator,1,0,0,0,0,0,1,1
46,193,Faculty-Collaborator,1,0,0,0,0,0,1,1
46,214,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
47,66,Collaborator-Collaborator,1,0,0,1,1,1,1,1
47,82,Collaborator-Collaborator,1,0,0,1,1,1,1,1
47,198,Collaborator-Collaborator,1,0,0,1,1,1,1,1
48,85,Collaborator-Collaborator,1,1,1,1,1,1,1,1
48,192,Collaborator-Collaborator,1,1,1,1,1,1,1,1
49,108,Collaborator-Collaborator,1,0,0,0,1,1,1,1
49,125,Faculty-Collaborator,1,0,0,0,1,1,1,1
49,154,Collaborator-Collaborator,1,0,0,0,1,1,1,1
49,206,Collaborator-Collaborator,1,0,0,0,1,1,1,1
49,209,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
49,228,Affiliate Student-Collaborator,1,0,0,0,1,1,1,1
50,149,Collaborator-Collaborator,1,0,0,0,1,1,1,1
50,193,Faculty-Collaborator,1,0,0,0,1,1,1,1
50,214,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
51,111,Faculty-Collaborator,1,0,0,0,1,1,1,1
51,128,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
52,87,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
52,115,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
52,164,Faculty-Doctoral Fellow,1,0,0,0,0,1,1,1
52,187,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
52,190,Doctoral Fellow-Collaborator,1,1,1,1,1,1,1,1
52,227,Doctoral Fellow-Doctoral Fellow,1,0,0,0,0,1,1,1
52,230,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
53,73,Faculty-Doctoral Fellow,1,0,0,0,0,1,1,1
53,212,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
53,218,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
54,62,Faculty-Collaborator,1,0,0,0,0,0,0,1
54,150,Collaborator-Collaborator,1,0,0,0,0,0,0,1
54,158,Faculty-Collaborator,1,0,0,0,0,0,0,1
55,59,Collaborator-Collaborator,1,0,0,0,0,1,1,1
55,90,Collaborator-Collaborator,1,0,0,0,0,1,1,1
55,127,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
55,155,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
55,193,Faculty-Collaborator,1,0,0,0,0,1,1,1
55,202,Doctoral Fellow-Collaborator,1,0,0,0,0,1,1,1
56,71,Collaborator-Collaborator,1,0,0,0,0,0,1,1
56,93,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
56,217,Collaborator-Collaborator,1,0,0,0,0,0,1,1
57,134,Faculty-Affiliate Student,1,0,1,1,1,1,1,1
57,204,Affiliate Student-Collaborator,1,0,1,1,1,1,1,1
58,71,Collaborator-Collaborator,1,0,0,0,1,1,1,1
58,80,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
58,205,Collaborator-Collaborator,1,0,0,0,1,1,1,1
58,217,Collaborator-Collaborator,1,0,0,0,1,1,1,1
59,75,Collaborator-Collaborator,1,0,0,0,0,0,0,1
59,76,Collaborator-Collaborator,1,0,0,0,0,0,1,1
59,90,Collaborator-Collaborator,1,0,0,0,0,1,1,1
59,94,Collaborator-Collaborator,1,0,0,0,0,0,1,1
59,127,Doctoral Fellow-Collaborator,2,0,0,0,0,1,1,2
59,155,Doctoral Fellow-Collaborator,4,0,0,0,0,1,4,4
59,176,Collaborator-Collaborator,1,0,0,0,0,0,1,1
